Column1;caption;nome_evento;local_evento;artista;data_evento;valor;link_venda
10;Amanhã, dia 13 de março General vai parar com essa super festa em comemoração aos 67 anos do município!! Essa tá imperdível pra quem curte aquele forró de qualidade, por que vai ter @zecantor , @tatygirl e @galiciacruzz ! É Amanhã, 13 de março, na Praça José Firmo Aguiar, a partir das 22h.Você não vai querer perder essa! #GeneralSampaio #TatyGirl #ZeCantor #Galícia #General67anos;Super Festa dos 67 anos do município;Praça José Firmo Aguiar;@zecantor, @tatygirl, @galiciacruzz;13/03/24;-;-
11;FORTALEZA! Ainda dá tempo! Os últimos ingressos para o show imperdível de Tarja e Marko Hietala em Fortaleza ainda estão disponíveis! Não perca tempo e garanta o seu lugar para essa experiência única. Corra e compre já, antes que esgote! Link na bio. Crédito vídeo: @toplinkmusic#ShowFortaleza #Taja #MarkoHietala #Ingressos;Show de Tarja e Marko Hietala em Fortaleza;Fortaleza;Tarja e Marko Hietala;-;-;-
12;Quem sabe fazer resenha melhor que eles? Ninguém no Brasil! Nossa line completa e dividida por dia chegou. E amanhã a partir das 12h você poderá garantir seu ingresso avulso para curtir qualquer dia do feriadão com a gente em Cumbuco..Os ventos nos levam para um novo destino. 28, 29 e 30 de Março.Cumbuco - CEIngressos disponíveis (LINK NA BIO);-;Cumbuco - CE;-;28/03/2024 a 30/03/2024;-;-
13;O trio mais apocalíptico de todos vai chegar em FORTALEZA! @henriqueejuliano e @nattan prometem uma noite com muito FOGO E GASOLINA ? dia 18 de maio no Colosso Stage. Aguardem mais informações e avisem os amigos! Vendas em breve!;-;Colosso Stage;Henrique e Juliano e Nattan;18/05/24;-;-
14;PE DRO SAM PA IOOO ?A primeira participação do DVD do Henry tá confirmada: Pedro Sampaio! Dia 17 de março Tudo Vira Terapia em Fortaleza Tudo Vira Terapia DVD Henry Freitas 17 de Março Colosso - Fortaleza/CE https://brasilticket.com.br/gravacao-do-dvd-tudo-vira-terapia-henry-freitas.html;Tudo Vira Terapia;Colosso - Fortaleza/CE;Pedro Sampaio;17/03/24;-;https://brasilticket.com.br/gravacao-do-dvd-tudo-vira-terapia-henry-freitas.html
15;Que ENCONTRO O FENÔMENO E O ORIGINAL@nattan e @zevaqueiro Só vem SSVALE 2024O maior evento do interior do Ceará!No @zoadashows em Limoeiro;ENCONTRO O FENÔMENO E O ORIGINAL;@zoadashows em Limoeiro;nattan e zevaqueiro;22/04/2024;-;-
16;Faltam 10 dias para a noite mais esperada, Desejeiros! A Gravação do DVD 'Nosso Tempo é Agora', do @seudesejo! Viveremos uma experiência inesquecível conectando sentimentos com Yara Tchê e Alessandro dia 09 de Março no Marina Park em Fortaleza. Um espetáculo jamais visto com as participações especiais de: Wesley Safadão, Walkyria Santos e Taty Girl. Pontos de venda: Online - Virtual Ticket: https://www.virtualticket.com.br/eventos/gravacao-dvd-seu-desejo-fortaleza Venda Física: Rancho do Poço,Lojas Ponto Da Moda (North Shopping Jóquei, RioMar Kennedy, Messejana, Centro [loja central] e Shopping Eusébio) @seudesejo | @camaroteshows | @betvip #SeuDesejo #CamaroteShows #Fortaleza #NossoTempoEAgora #YaraTchê #AlessandroCosta;Gravação do DVD 'Nosso Tempo é Agora';Marina Park em Fortaleza;Yara Tchê e Alessandro com participações de Wesley Safadão, Walkyria Santos e Taty Girl;09/03/24;-;https://www.virtualticket.com.br/eventos/gravacao-dvd-seu-desejo-fortaleza
17;É a terapia 1000% chegando em Chorozinho! Vocês pediram e a gente atendeu, o fenômeno @henryfreitas tá vindo com tudo para celebrar os 37 anos da nossa cidade. #Chorozinho37anos #CelebrandoConquistas @gov.municipaldechorozinho @dr.juniorprefeito;Terapia 1000%;Chorozinho;@henryfreitas;-;-;-
18;Contando cada minuto pra curtir com as melhores atrações no @garotavip Fortaleza. Dia 27 de abril eles estão chegando com tudoooo!!! Nosso líder @wesleysafadao e mais…@leosantana, @luansantana e @marierayaneoficial. #GarotaVip #Fortaleza #Ceará #SaveTheDate #SóOsFortesEntendem #WesleySafadão #CamaroteShows #LuanSantana #LeoSanta na #MarieRayane;Garota Vip Fortaleza;-;Wesley Safadão, Luan Santana, Leo Santana, Marie Rayane;27/04/24;-;-
19;Hoje tem virada de lote! Última chance de garantir seu pass promocional. Acesse o site da Ingresse agora..Os ventos nos levam para um novo destino. 28, 29 e 30 de Março.Cumbuco - CEIngressos disponíveis (LINK NA BIO);;;;;;
20;Marque os amigos e avisa que 06 de abril Fortaleza vai CANTAR AS ANTIGAS com @sorrisomaroto ? .@sorrisoasantigas 06.04.2024 Marina Park .VENDAS.: site/app @ingresse ou nas lojas Skyler dos shoppings Parangaba | Rio mar Kennedy | Iguatemi #SorrisoAsAntigasFortaleza;CANTAR AS ANTIGAS;Marina Park;@sorrisomaroto ?;06/04/24;-;-
21;2024 começou, oficialmente! E, com ele, O Último Encontro do Só Pra Contrariar! Já garantiu o seu lugar pra matar a saudade? Te esperamos no @spcacustico! SPC Acústico 2 - O Último Encontro - 10/05, em Fortaleza, no Centro de Eventos Ceará Ingressos disponíveis no link da BIO ou em spcacustico.com.br#SPCAcústico #SPC #SóPraContrariar #R2comSPC;SPC Acústico 2 - O Último Encontro;Centro de Eventos Ceará;Só Pra Contrariar;10/05/2024;-;spcacustico.com.br
22;Temos muito orgulho de receber ele mais uma vez no nosso palco!.Nossa atração surpresa é exatamente quem vocês queriam! Vai ter @nattan no Playa Cumbuco. Vai garantir seu ingresso agora que a resenha ta de volta..Os ventos nos levam para um novo destino. 28, 29 e 30 de Março.Cumbuco - CEIngressos disponíveis (Link na Bio);Resenha no Playa Cumbuco;Cumbuco - CE;Nattan;28/03/2024 a 30/03/2024;-;-
23;Preparem-se para uma noite inesquecível, Fortaleza! Dia 09 de Março temos um encontro marcado no Marina Park para a gravação do DVD 'Nosso Tempo é Agora' da Mais Romântica do Brasil @desejodemenina com as participações especiais de @wesleysafadao, @walkyriasantos e @tatygirl! Pontos de venda:Online - Virtual Ticket: https://www.virtualticket.com.br/eventos/gravacao-dvd-desejo-de-menina-fortalezaVenda Física: Rancho do Poço,Lojas Ponto Da Moda (North Shopping Jóquei, RioMar Kennedy, Messejana, Centro [loja central] e Shopping Eusébio)@desejodemenina | @camaroteshows | @betvip#DesejoDeMenina #CamaroteShows #Fortaleza #NossoTempoEAgora #YaraTchê #AlessandroCosta;Gravação do DVD 'Nosso Tempo é Agora' da Mais Romântica do Brasil;Marina Park;Desejo de Menina com participações de Wesley Safadão, Walkyria Santos e Taty Girl;09/03/24;-;https://www.virtualticket.com.br/eventos/gravacao-dvd-desejo-de-menina-fortaleza
24;A lista de grandes nomes da música brasileira que irão subir ao nosso palco só aumenta! Comenta aqui qual artista você quer ver no Iguatemi Hall. #IguatemiHall #Shows #ShowsemFortaleza #Fortaleza;-;Fortaleza;-;-;-;-
25;Feriadão da Semana Santa, 28, 29 e 30 de Março, na praia de Cumbuco. Esperamos por você lá para pegar um sol e aproveitar tudo que o Playa oferece. #PlayaCumbuco #Playa2024- VENDAS LIBERADAS, LINK NA BIO;Feriadão da Semana Santa;praia de Cumbuco;-;28/03/2024 a 30/03/2024;-;-
26;Não perca a última chance de viver o maior Buteco do Brasil ? Adquira já o seu ingresso do Buteco Despedida: Fortaleza, através do, @BaladAPP e garanta em até 8X no cartão. Abre o portão que eu cheguei! A venda online é EXCLUSIVA do @BaladAPP (aplicativo ou baladapp.com.br), acesse já: (https://baladapp.com.br/a/butecofortaleza2024/4742) PONTOS DE VENDA FÍSICO:After Tickets - RioMar Fortaleza.Seu Domingo Quintal (North Shopping Joquei) Parcele em até 3x sem juros FRONTSTAGE - Acesso à frente do palco- Praça de alimentação- Bares exclusivos- Banheiros Exclusivos- Posto Médico- Não tem open bar SETOR EMBAIXADOR - Acesso à frente do palco- Bares exclusivos- Banheiros exclusivos- Praça de alimentação- Open bar (Whisky, Vodka, Gin, Cerveja, Vermelhão, água, Refrigerante e água tônica)- Posto Médico ÁREA VIP - Praça de alimentação- Bares exclusivos- Banheiros Exclusivos- Posto Médico- Não tem open bar OBS: Vendas de suítes somente no contato (85) 99631-1308 CADU SUÍTES - Estrutura elevada- Decoração especial- Acesso à frente do palco- Praça de Alimentação- Bares exclusivos- Banheiros exclusivos climatizados- Open Bar (Whisky, Vodka, Gin, Cerveja, água, Vermelhão, Refrigerante e água tônica)- Posto Médico CLASSIFICAÇÃO DO EVENTO: 18+ #Butecodespedida # OEmbaixador #Fortaleza;Buteco Despedida;Fortaleza;-;-;-;https://baladapp.com.br/a/butecofortaleza2024/4742
27;Vai ter FORRÓ DE VERDADE na cidade sim!!! Algumas das melhores bandas de forró da história, juntas, em um único propósito: TE FAZER SENTIR A ENERGIA DE UM FORRÓ DE VERDADE! Zé Cantor, Toca do Vale, Junior Vianna e Forró Real te esperam no dia 23 de Março, no Estacionamento da Cidade Mix!! Preparados para amanhecer o dia no forró? #CidadeMix #Forró #Festa #Show;FORRÓ DE VERDADE;Estacionamento da Cidade Mix;Zé Cantor, Toca do Vale, Junior Vianna e Forró Real;23/03/24;-;-
28;Pense que esse Kukukaya vem mais uma vez com tudo!! Batista Lima e Lagosta Bronzeada dia 23 (sábado) de Março estão prometendo um verdadeiro espetáculo. Bora? Corre logo e compra seu ingresso pra não ficar de fora. Vendas pelo site Efolia. #kukukaya #forrodasantigas #forropedeserra;Kukukaya com Batista Lima e Lagosta Bronzeada;-;Batista Lima e Lagosta Bronzeada;23/03/24;-;https://www.efolia.com.br
29;DEMOREI MUITO PRA TE ENCONTRAR, AGORA QUERO SÓ VOCÊ! Ele vem aí! Dia 6 de abril, um dos cantores mais românticos do Brasil desembarca em Fortaleza: FÁBIO JR!Confira os ingressos e mesas disponíveis no site bilheteriavirtual.com.br. Link na nossa bio.#IguatemiHall #FábioJr #Show #Fortaleza;FÁBIO JR;IguatemiHall;Fábio Jr;06/04/24;-;bilheteriavirtual.com.br
30;"Alô, Fortaleza! Avisa que o líder @wesleysafadao é participação confirmada no DVD ""Nosso Tempo é Agora!"" da Mais Romântica do Brasil"" Estamos prontos, preparados e querendo esse momento dia 09 de março no Marina Park!Pontos de venda:Online - Virtual Ticket: https://www.virtualticket.com.br/eventos/gravacao-dvd-desejo-de-menina-fortalezaVenda Física: Rancho do Poço,Lojas Ponto Da Moda (North Shopping Jóquei, RioMar Kennedy, Messejana, Centro [loja central] e Shopping Eusébio)@desejodemenina | @camaroteshows | @betvip";DVD Nosso Tempo é Agora!;Marina Park;@wesleysafadao;09/03/24;-;https://www.virtualticket.com.br/eventos/gravacao-dvd-desejo-de-menina-fortaleza
31;TUDO VIRA TERAPIA Alô Fortaleza/CE, preparem-se para receber o 1º DVD da carreira do Henry Freitas Dia 17 de março, no Colosso, escreveremos mais um capítulo na história do artista que vem conquistando o Brasil Mais informações em breve!;TUDO VIRA TERAPIA;Colosso;Henry Freitas;17/03/24;-;-
32;Os bons ventos nos levam para um novo destino. Cumbuco, no Ceará é uma praia conhecida pelos ventos e pelos esportes. Perfeito para receber uma edição inesquecível do Playa!Vamos desembarcar nesta nova praia com toda a energia, vibe e resenha que só o Playa sabe criar. Nosso encontro é no feriadão da Semana Santa, 28, 29 e 30 de Março, na praia de Cumbuco. Esperamos por você lá para pegar um sol e aproveitar tudo que o Playa oferece. #PlayaCumbuco #Playa2024 Vendas INICIADAS.LINK NA BIO;Playa;Cumbuco, Ceará;-;28/03/2024 a 30/03/2024;-;-
33;O Carnaval Paracuru Folia 2024 será uma experiência completa para toda a família! Serão quatro dias de muita diversão com as melhores bandas, começamos no dia 10 e vamos até o dia 13 de fevereiro.Com carnaval infantil e da melhor idade na praça da Matriz, mela mela na praça do farol e um shows inesquecíveis à noite. Preparem-se para dias inesquecíveis de pura diversão, música boa e, claro, aquele clima contagiante de Carnaval. Vamos juntos fazer desta festa um marco em nossas memórias!A segurança que é a nossa prioridade em cada celebração, garantindo momentos de alegria para toda a família.Não perca essa folia que vai marcar novamente entrar pra história!Prefeitura de Paracuru, Governando com o Povo#ParacuruFolia#Carnaval2024 #DiversaoComSeguranca;Carnaval Paracuru Folia 2024;-;-;10/02/2024 a 13/02/2024;-;-
34;Neste domingo, a diversão está garantida no @butecomaraponga !Dia de curtir aquele pagode ao som de @leopagode90 e @soufhaoficial_ ! E as promoções? Temos open bar de Budweiser por só R$ 39,90 e 1 litro de caipirinha por R$ 12,90. Chame a galera e venha curtir conosco!;Pagode no Buteco;Buteco Maraponga;Leopagode90 e Soufhaoficial_;-;-;-
35;09/06 - Anavitoria e Nando Reis (Iguatemi Hall).Ingressos: Site bilheteria virtual, link: https://www.bilheteriavirtual.com.br/evento/3257/ANAVIT0RIA_&_NAND0_REIS..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Anavitoria e Nando Reis;Iguatemi Hall;Anavitoria e Nando Reis;09/06/2024;-;https://www.bilheteriavirtual.com.br/evento/3257/ANAVIT0RIA_&_NAND0_REIS
36;19/04 - Matuê (Marina Park).Ingressos: site seu tickets, link: https://www.seutickets.com.br/eventos/festival-plantao-fortaleza..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Festival Plantão Fortaleza;Marina Park;Matuê;19/04/2024;-;https://www.seutickets.com.br/eventos/festival-plantao-fortaleza
37;09/03 - Djavan (Centro de Eventos).Ingressos: site efolia, link: https://efolia.com.br/ingressos/2485/djavan_turne_d..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Djavan Turnê;Centro de Eventos;Djavan;09/03/2024;-;https://efolia.com.br/ingressos/2485/djavan_turne_d
38;13/07 - Restart (Sana).Ingressos: inicio dia 5 de março no site sympla..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Sana;-;Restart;13/07/2024;-;https://tinyurl.com/37tmmw2t
39;05/05 - Gloria (Hard Noise).Ingressos: site articles, link: https://articket.com.br/e/1741/gloria-em-fortaleza..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Gloria (Hard Noise);-;Gloria;05/05/2024;-;https://articket.com.br/e/1741/gloria-em-fortaleza
40;14/09 - Humberto Gessinger (Praça Verde).Ingressos: site bilheteria virtual, link: https://bilheteriavirtual.com.br/Pista R$ 100,00 (meia) / R$ 200,00 (inteira)Frontstage R$ 120,00 (meia) / R$ 240,00 (inteira)..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Humberto Gessinger;Praça Verde;-;14/09/2024;"Pista (meia): 100; Pista (inteira): 200; Frontstage (meia): 120; Frontstage (inteira): 240";https://bilheteriavirtual.com.br
41;03/08 - Forfun (Arena Iguatemi).Ingressos: Site Eventim, link: https://www.eventim.com.br/event/forfun-arena-iguatemi-18145830/..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Forfun;Arena Iguatemi;Forfun;03/08/2024;-;https://www.eventim.com.br/event/forfun-arena-iguatemi-18145830/
42;20/04 - Barao Vermelho (Estacionamento Rio Mar).Ingressos: Site Bilheteria Digital, link: https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco.Postando de novo porque mudou o dia.UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Barao Vermelho;Estacionamento Rio Mar;Barao Vermelho;20/04/2024;-;https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco
43;20/04 - Paulo Ricardo (Estacionamento Rio Mar).Ingressos: Site Bilheteria Digital, link: https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco.Postando de novo porque mudou o dia.UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Paulo Ricardo e Barão Vermelho;Estacionamento Rio Mar;Paulo Ricardo;09/03/24;-;https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco
44;13/02 - Zeca Baleiro (Aterrinho da Praia de Iracema).Ingressos: Gratuito. Carnaval de FortalezaPROGRAMAÇÃO DO DIA:* DJ Kinas* Bloco Mambembe* Zeca Baleiro* Maria Rita..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Zeca Baleiro;13/02/2024;Gratuito;-
45;13/02 - Maria Rita (Aterrinho da Praia de Iracema).Ingressos: Gratuito. Carnaval de FortalezaPROGRAMAÇÃO DO DIA:* DJ Kinas* Bloco Mambembe* Zeca Baleiro* Maria Rita..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Maria Rita;13/02/2024;Gratuito;-
46;12/02 - Solange Almeida (Aterrinho da Praia de Iracema).Ingressos: Gratuito. Carnaval de FortalezaPROGRAMAÇÃO DO DIA:* DJ Silas* Banda Os Transacionais* Solange Almeida* Criolo..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Solange Almeida;12/02/2024;Gratuito;-
47;12/02 - Criolo (Aterrinho da Praia de Iracema).Ingressos: Gratuito. Carnaval de FortalezaPROGRAMAÇÃO DO DIA:* DJ Silas* Banda Os Transacionais* Solange Almeida* Criolo..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Criolo;12/02/2024;Gratuito;-
48;11/02 - Diogo Nogueira (Aterrinho da Praia de Iracema).Ingressos: Gratuito. Carnaval de FortalezaPROGRAMACAO DO DIA:* DJ Fish Vinil* DTF Elétrico* Diogo Nogueira* Alanzim Coreano ..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Diogo Nogueira;11/02/2024;Gratuito;-
49;27/01 - Araketu (Aterrinho da Praia de Iracema).Ingressos: Pre-carnaval de FortalezaPROGRAMAÇÃO DO DIA 27/01BENFICADJ Cleyton Almeida/Diana Franco/Banda Feed Semana/Bloco MambembePARQUE RACHEL DE QUEIROZBanda Fortaleza Folia / Johnny LimaPRAÇA DO FERREIRABloco Concentra Mas Não Sai e convidadosLARGO DA MOCINHABloco Num Ispaia Sinão IencheMERCADO DOS PINHÕESDJ Adrian Brasil/Banda Manga Rosa/Shirlene Aguiar..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofae l;Pre-carnaval de Fortaleza;Aterrinho da Praia de Iracema;Araketu;27/01/2024;-;-
50;03/02 - Silva (Aterrinho da Praia de Iracema).Ingressos: Pre-carnaval de FortalezaPROGRAMAÇAO DO DIA 03/02:MERCADO DOS PINHÕESBanda Os TransacionaisLARGO DA MOCINHABloco Num Ispaia Sinão IencheATERRINHO DA PRAIA DE IRACEMAAda Porã / SilvaBENFICADJ Fish Vinil e Micaela Gomes..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Pre-carnaval de Fortaleza;Aterrinho da Praia de Iracema;Silva;03/02/2024;-;-
51;27/01 - CPM22 (Centro de Eventos).Ingressos: site Sympla. Link:https://www.sympla.com.br/evento/cpm-22-no-centro-de-eventos/2172767.600MB de internet fibra + Netflix por 110 reais, assine brisanet no link:https://tinyurl.com/3vctt7e7.Ative as notificações no instagram e siga o moderador da pagina @rpontofael;;;;;;
